protein1	protein2	score	interaction_type
KOIAIB_00002	KOIAIB_01350	805	mixed
KOIAIB_00002	KOIAIB_02786	802	mixed
KOIAIB_00002	KOIAIB_00081	878	core-core
KOIAIB_00002	KOIAIB_00003	781	core-core
KOIAIB_00003	KOIAIB_04071	925	core-core
KOIAIB_00003	KOIAIB_02153	966	core-core
KOIAIB_00003	KOIAIB_04013	898	core-core
KOIAIB_00003	KOIAIB_02490	955	core-core
KOIAIB_00003	KOIAIB_03205	901	core-core
KOIAIB_00003	KOIAIB_00080	830	core-core
KOIAIB_00003	KOIAIB_04543	809	core-core
KOIAIB_00003	KOIAIB_03318	817	core-core
KOIAIB_00003	KOIAIB_02787	852	core-core
KOIAIB_00003	KOIAIB_02155	735	core-core
KOIAIB_00003	KOIAIB_00727	954	core-core
KOIAIB_00003	KOIAIB_04065	809	core-core
KOIAIB_00003	KOIAIB_00784	892	core-core
KOIAIB_00003	KOIAIB_02158	710	core-core
KOIAIB_00003	KOIAIB_00980	767	core-core
KOIAIB_00003	KOIAIB_04431	865	core-core
KOIAIB_00003	KOIAIB_03642	998	core-core
KOIAIB_00003	KOIAIB_00569	928	core-core
KOIAIB_00003	KOIAIB_03903	807	core-core
KOIAIB_00003	KOIAIB_00979	714	core-core
KOIAIB_00003	KOIAIB_01884	823	core-core
KOIAIB_00003	KOIAIB_00084	867	core-core
KOIAIB_00003	KOIAIB_00002	781	core-core
KOIAIB_00003	KOIAIB_03838	853	core-core
KOIAIB_00003	KOIAIB_04472	885	core-core
KOIAIB_00003	KOIAIB_00005	999	core-core
KOIAIB_00003	KOIAIB_02154	880	core-core
KOIAIB_00003	KOIAIB_00177	730	core-core
KOIAIB_00003	KOIAIB_02757	831	core-core
KOIAIB_00003	KOIAIB_02072	737	mixed
KOIAIB_00003	KOIAIB_01932	831	core-core
KOIAIB_00003	KOIAIB_04199	923	core-core
KOIAIB_00003	KOIAIB_03151	822	core-core
KOIAIB_00003	KOIAIB_02869	854	core-core
KOIAIB_00003	KOIAIB_00032	752	core-core
KOIAIB_00003	KOIAIB_02159	792	core-core
KOIAIB_00003	KOIAIB_02152	874	core-core
KOIAIB_00003	KOIAIB_03374	920	core-core
KOIAIB_00003	KOIAIB_04200	999	core-core
KOIAIB_00003	KOIAIB_01878	724	core-core
KOIAIB_00003	KOIAIB_03985	820	core-core
KOIAIB_00003	KOIAIB_04277	959	core-core
KOIAIB_00003	KOIAIB_03029	986	core-core
KOIAIB_00003	KOIAIB_04198	708	core-core
KOIAIB_00003	KOIAIB_04289	966	core-core
KOIAIB_00003	KOIAIB_02480	843	core-core
KOIAIB_00003	KOIAIB_01001	915	core-core
KOIAIB_00003	KOIAIB_00287	861	mixed
KOIAIB_00003	KOIAIB_04284	958	core-core
KOIAIB_00003	KOIAIB_00079	733	core-core
KOIAIB_00003	KOIAIB_04544	869	core-core
KOIAIB_00003	KOIAIB_02983	830	core-core
KOIAIB_00003	KOIAIB_02788	934	core-core
KOIAIB_00003	KOIAIB_04015	833	core-core
KOIAIB_00003	KOIAIB_04047	906	core-core
KOIAIB_00003	KOIAIB_00004	999	core-core
KOIAIB_00003	KOIAIB_01728	821	core-core
KOIAIB_00003	KOIAIB_03313	830	core-core
KOIAIB_00003	KOIAIB_02650	986	core-core
KOIAIB_00003	KOIAIB_03938	859	core-core
KOIAIB_00003	KOIAIB_04011	949	core-core
KOIAIB_00003	KOIAIB_00895	800	core-core
KOIAIB_00004	KOIAIB_04289	939	core-core
KOIAIB_00004	KOIAIB_03642	912	core-core
KOIAIB_00004	KOIAIB_02155	710	core-core
KOIAIB_00004	KOIAIB_03029	749	core-core
KOIAIB_00004	KOIAIB_00032	772	core-core
KOIAIB_00004	KOIAIB_02869	800	core-core
KOIAIB_00004	KOIAIB_03318	747	core-core
KOIAIB_00004	KOIAIB_04200	998	core-core
KOIAIB_00004	KOIAIB_04013	815	core-core
KOIAIB_00004	KOIAIB_01932	828	core-core
KOIAIB_00004	KOIAIB_03205	844	core-core
KOIAIB_00004	KOIAIB_04199	897	core-core
KOIAIB_00004	KOIAIB_04071	890	core-core
KOIAIB_00004	KOIAIB_00005	999	core-core
KOIAIB_00004	KOIAIB_02154	776	core-core
KOIAIB_00004	KOIAIB_00003	999	core-core
KOIAIB_00004	KOIAIB_04011	903	core-core
KOIAIB_00004	KOIAIB_03838	831	core-core
KOIAIB_00004	KOIAIB_02983	835	core-core
KOIAIB_00004	KOIAIB_04015	879	core-core
KOIAIB_00004	KOIAIB_00077	739	core-core
KOIAIB_00004	KOIAIB_01728	800	core-core
KOIAIB_00004	KOIAIB_03313	828	core-core
KOIAIB_00004	KOIAIB_04284	903	core-core
KOIAIB_00004	KOIAIB_00287	814	mixed
KOIAIB_00005	KOIAIB_03029	740	core-core
KOIAIB_00005	KOIAIB_03642	904	core-core
KOIAIB_00005	KOIAIB_04289	885	core-core
KOIAIB_00005	KOIAIB_04012	730	core-core
KOIAIB_00005	KOIAIB_00054	904	core-core
KOIAIB_00005	KOIAIB_04013	984	core-core
KOIAIB_00005	KOIAIB_02787	712	core-core
KOIAIB_00005	KOIAIB_04200	985	core-core
KOIAIB_00005	KOIAIB_00375	732	mixed
KOIAIB_00005	KOIAIB_03318	986	core-core
KOIAIB_00005	KOIAIB_00032	707	core-core
KOIAIB_00005	KOIAIB_03847	929	core-core
KOIAIB_00005	KOIAIB_00078	755	core-core
KOIAIB_00005	KOIAIB_00940	951	core-core
KOIAIB_00005	KOIAIB_00979	955	core-core
KOIAIB_00005	KOIAIB_00003	999	core-core
KOIAIB_00005	KOIAIB_02154	716	core-core
KOIAIB_00005	KOIAIB_00004	999	core-core
KOIAIB_00005	KOIAIB_00077	923	core-core
KOIAIB_00005	KOIAIB_04015	900	core-core
KOIAIB_00007	KOIAIB_00008	748	core-core
KOIAIB_00008	KOIAIB_01091	813	core-core
KOIAIB_00008	KOIAIB_00007	748	core-core
KOIAIB_00009	KOIAIB_01838	934	core-core
KOIAIB_00009	KOIAIB_00010	702	core-core
KOIAIB_00009	KOIAIB_04529	958	core-core
KOIAIB_00009	KOIAIB_01896	957	core-core
KOIAIB_00009	KOIAIB_02582	841	core-core
KOIAIB_00009	KOIAIB_04174	966	core-core
KOIAIB_00009	KOIAIB_02964	953	core-core
KOIAIB_00009	KOIAIB_00744	928	core-core
KOIAIB_00009	KOIAIB_03595	856	core-core
KOIAIB_00009	KOIAIB_03122	965	core-core
KOIAIB_00009	KOIAIB_01973	909	core-core
KOIAIB_00009	KOIAIB_01727	819	core-core
KOIAIB_00009	KOIAIB_04178	975	core-core
KOIAIB_00009	KOIAIB_03127	930	core-core
KOIAIB_00009	KOIAIB_04290	989	core-core
KOIAIB_00009	KOIAIB_01177	862	core-core
KOIAIB_00009	KOIAIB_01897	828	core-core
KOIAIB_00009	KOIAIB_04184	942	core-core
KOIAIB_00009	KOIAIB_01473	862	core-core
KOIAIB_00009	KOIAIB_02162	932	core-core
KOIAIB_00009	KOIAIB_04693	917	core-core
KOIAIB_00009	KOIAIB_00815	910	core-core
KOIAIB_00009	KOIAIB_03131	997	core-core
KOIAIB_00009	KOIAIB_03124	861	core-core
KOIAIB_00009	KOIAIB_02238	938	core-core
KOIAIB_00009	KOIAIB_04709	844	core-core
KOIAIB_00009	KOIAIB_01815	941	core-core
KOIAIB_00009	KOIAIB_02551	926	core-core
KOIAIB_00009	KOIAIB_01976	919	core-core
KOIAIB_00009	KOIAIB_02631	902	core-core
KOIAIB_00009	KOIAIB_03843	847	core-core
KOIAIB_00009	KOIAIB_03123	811	core-core
KOIAIB_00009	KOIAIB_01786	920	core-core
KOIAIB_00009	KOIAIB_02632	996	core-core
KOIAIB_00009	KOIAIB_03110	757	core-core
KOIAIB_00009	KOIAIB_00124	874	core-core
KOIAIB_00010	KOIAIB_04101	941	core-core
KOIAIB_00010	KOIAIB_04100	772	core-core
KOIAIB_00010	KOIAIB_00843	978	core-core
KOIAIB_00010	KOIAIB_00847	996	core-core
KOIAIB_00010	KOIAIB_00821	787	mixed
KOIAIB_00010	KOIAIB_00894	999	core-core
KOIAIB_00010	KOIAIB_00845	989	core-core
KOIAIB_00010	KOIAIB_00009	702	core-core
KOIAIB_00010	KOIAIB_00844	926	core-core
KOIAIB_00010	KOIAIB_00846	738	core-core
KOIAIB_00011	KOIAIB_04341	880	core-core
KOIAIB_00011	KOIAIB_00013	788	core-core
KOIAIB_00011	KOIAIB_00012	774	core-core
KOIAIB_00012	KOIAIB_02241	805	core-core
KOIAIB_00012	KOIAIB_03195	820	core-core
KOIAIB_00012	KOIAIB_00013	949	core-core
KOIAIB_00012	KOIAIB_00011	774	core-core
KOIAIB_00012	KOIAIB_02465	815	core-core
KOIAIB_00013	KOIAIB_00011	788	core-core
KOIAIB_00013	KOIAIB_00012	949	core-core
KOIAIB_00014	KOIAIB_03923	973	core-core
KOIAIB_00014	KOIAIB_04434	999	core-core
KOIAIB_00014	KOIAIB_03975	715	core-core
KOIAIB_00014	KOIAIB_01030	847	core-core
KOIAIB_00014	KOIAIB_03840	830	core-core
KOIAIB_00014	KOIAIB_04435	999	core-core
KOIAIB_00014	KOIAIB_03573	772	core-core
KOIAIB_00014	KOIAIB_03939	802	core-core
KOIAIB_00014	KOIAIB_01833	745	core-core
KOIAIB_00014	KOIAIB_00480	959	core-core
KOIAIB_00014	KOIAIB_00953	859	core-core
KOIAIB_00014	KOIAIB_00173	903	core-core
KOIAIB_00014	KOIAIB_01075	996	core-core
KOIAIB_00014	KOIAIB_03922	987	core-core
KOIAIB_00014	KOIAIB_00102	821	core-core
KOIAIB_00014	KOIAIB_00539	858	core-core
KOIAIB_00014	KOIAIB_03674	759	core-core
KOIAIB_00014	KOIAIB_02703	857	core-core
KOIAIB_00014	KOIAIB_00959	731	core-core
KOIAIB_00014	KOIAIB_00983	816	core-core
KOIAIB_00014	KOIAIB_00661	768	core-core
KOIAIB_00014	KOIAIB_03381	806	core-core
KOIAIB_00014	KOIAIB_01160	909	core-core
KOIAIB_00014	KOIAIB_01896	906	core-core
KOIAIB_00014	KOIAIB_02964	702	core-core
KOIAIB_00014	KOIAIB_03671	996	core-core
KOIAIB_00014	KOIAIB_04302	864	core-core
KOIAIB_00014	KOIAIB_03548	785	core-core
KOIAIB_00014	KOIAIB_00057	855	core-core
KOIAIB_00014	KOIAIB_04190	984	core-core
KOIAIB_00014	KOIAIB_03557	707	core-core
KOIAIB_00014	KOIAIB_04191	980	core-core
KOIAIB_00014	KOIAIB_03936	873	core-core
KOIAIB_00014	KOIAIB_00192	706	core-core
KOIAIB_00014	KOIAIB_02705	907	core-core
KOIAIB_00014	KOIAIB_03503	829	core-core
KOIAIB_00014	KOIAIB_04324	802	core-core
KOIAIB_00014	KOIAIB_00476	917	core-core
KOIAIB_00014	KOIAIB_02801	999	core-core
KOIAIB_00014	KOIAIB_04467	701	core-core
KOIAIB_00014	KOIAIB_02779	999	core-core
KOIAIB_00014	KOIAIB_03267	868	core-core
KOIAIB_00014	KOIAIB_00105	836	core-core
KOIAIB_00014	KOIAIB_02798	781	core-core
KOIAIB_00014	KOIAIB_02387	944	core-core
KOIAIB_00014	KOIAIB_00514	999	core-core
KOIAIB_00014	KOIAIB_01946	745	core-core
KOIAIB_00014	KOIAIB_00478	928	core-core
KOIAIB_00014	KOIAIB_00375	809	mixed
KOIAIB_00014	KOIAIB_03364	720	core-core
KOIAIB_00014	KOIAIB_02052	875	mixed
KOIAIB_00014	KOIAIB_03610	966	core-core
KOIAIB_00014	KOIAIB_03779	748	core-core
KOIAIB_00014	KOIAIB_03609	841	core-core
KOIAIB_00014	KOIAIB_03525	741	core-core
KOIAIB_00014	KOIAIB_02882	827	mixed
KOIAIB_00014	KOIAIB_00016	999	core-core
KOIAIB_00014	KOIAIB_00477	966	core-core
KOIAIB_00014	KOIAIB_02925	760	core-core
KOIAIB_00014	KOIAIB_04248	841	core-core
KOIAIB_00014	KOIAIB_00422	947	core-core
KOIAIB_00016	KOIAIB_01473	838	core-core
KOIAIB_00016	KOIAIB_00027	711	core-core
KOIAIB_00016	KOIAIB_02702	983	core-core
KOIAIB_00016	KOIAIB_00476	920	core-core
KOIAIB_00016	KOIAIB_02801	999	core-core
KOIAIB_00016	KOIAIB_03671	981	core-core
KOIAIB_00016	KOIAIB_04302	719	core-core
KOIAIB_00016	KOIAIB_00057	860	core-core
KOIAIB_00016	KOIAIB_04190	993	core-core
KOIAIB_00016	KOIAIB_04191	977	core-core
KOIAIB_00016	KOIAIB_03936	793	core-core
KOIAIB_00016	KOIAIB_02705	750	core-core
KOIAIB_00016	KOIAIB_03610	952	core-core
KOIAIB_00016	KOIAIB_00032	775	core-core
KOIAIB_00016	KOIAIB_00014	999	core-core
KOIAIB_00016	KOIAIB_03609	824	core-core
KOIAIB_00016	KOIAIB_02882	749	mixed
KOIAIB_00016	KOIAIB_00477	912	core-core
KOIAIB_00016	KOIAIB_03945	749	core-core
KOIAIB_00016	KOIAIB_00464	843	core-core
KOIAIB_00016	KOIAIB_02779	996	core-core
KOIAIB_00016	KOIAIB_02204	810	core-core
KOIAIB_00016	KOIAIB_03267	801	core-core
KOIAIB_00016	KOIAIB_00036	787	core-core
KOIAIB_00016	KOIAIB_00514	998	core-core
KOIAIB_00016	KOIAIB_01946	709	core-core
KOIAIB_00016	KOIAIB_00478	869	core-core
KOIAIB_00016	KOIAIB_00480	941	core-core
KOIAIB_00016	KOIAIB_00953	783	core-core
KOIAIB_00016	KOIAIB_00155	788	core-core
KOIAIB_00016	KOIAIB_03922	894	core-core
KOIAIB_00016	KOIAIB_00539	853	core-core
KOIAIB_00016	KOIAIB_01074	948	core-core
KOIAIB_00016	KOIAIB_03923	934	core-core
KOIAIB_00016	KOIAIB_04434	989	core-core
KOIAIB_00016	KOIAIB_03840	740	core-core
KOIAIB_00016	KOIAIB_04435	992	core-core
KOIAIB_00016	KOIAIB_03381	722	core-core
KOIAIB_00016	KOIAIB_02703	848	core-core
KOIAIB_00016	KOIAIB_00706	979	mixed
KOIAIB_00021	KOIAIB_03559	786	core-core
KOIAIB_00021	KOIAIB_00374	725	core-core
KOIAIB_00021	KOIAIB_01299	905	core-core
KOIAIB_00021	KOIAIB_00049	774	core-core
KOIAIB_00021	KOIAIB_01262	974	core-core
KOIAIB_00025	KOIAIB_03466	747	core-core
KOIAIB_00025	KOIAIB_03697	745	core-core
KOIAIB_00025	KOIAIB_03505	999	core-core
KOIAIB_00025	KOIAIB_00181	999	core-core
KOIAIB_00025	KOIAIB_00183	875	core-core
KOIAIB_00025	KOIAIB_01830	994	core-core
KOIAIB_00025	KOIAIB_03820	807	core-core
KOIAIB_00025	KOIAIB_04439	998	core-core
KOIAIB_00025	KOIAIB_03548	964	core-core
KOIAIB_00025	KOIAIB_03465	771	core-core
KOIAIB_00025	KOIAIB_00324	962	mixed
KOIAIB_00025	KOIAIB_00206	825	core-core
KOIAIB_00025	KOIAIB_03435	999	core-core
KOIAIB_00025	KOIAIB_01030	819	core-core
KOIAIB_00025	KOIAIB_03946	800	core-core
KOIAIB_00025	KOIAIB_02492	800	core-core
KOIAIB_00025	KOIAIB_04497	999	core-core
KOIAIB_00025	KOIAIB_02797	999	core-core
KOIAIB_00025	KOIAIB_00053	911	core-core
KOIAIB_00025	KOIAIB_01580	720	core-core
KOIAIB_00025	KOIAIB_04682	873	core-core
KOIAIB_00025	KOIAIB_00030	743	core-core
KOIAIB_00025	KOIAIB_03512	985	core-core
KOIAIB_00025	KOIAIB_04241	907	core-core
KOIAIB_00025	KOIAIB_03371	832	core-core
KOIAIB_00025	KOIAIB_03494	984	core-core
KOIAIB_00025	KOIAIB_03547	999	core-core
KOIAIB_00025	KOIAIB_03506	997	core-core
KOIAIB_00025	KOIAIB_03527	991	core-core
KOIAIB_00025	KOIAIB_03388	999	core-core
KOIAIB_00025	KOIAIB_01831	991	core-core
KOIAIB_00025	KOIAIB_03513	993	core-core
KOIAIB_00025	KOIAIB_00185	941	core-core
KOIAIB_00025	KOIAIB_02969	999	core-core
KOIAIB_00025	KOIAIB_03510	981	core-core
KOIAIB_00025	KOIAIB_03867	998	core-core
KOIAIB_00025	KOIAIB_03265	999	core-core
KOIAIB_00025	KOIAIB_04498	991	core-core
KOIAIB_00025	KOIAIB_03503	992	core-core
KOIAIB_00025	KOIAIB_03518	991	core-core
KOIAIB_00025	KOIAIB_04496	754	core-core
KOIAIB_00025	KOIAIB_03509	981	core-core
KOIAIB_00025	KOIAIB_03499	999	core-core
KOIAIB_00025	KOIAIB_02317	788	core-core
KOIAIB_00025	KOIAIB_03519	998	core-core
KOIAIB_00025	KOIAIB_04495	999	core-core
KOIAIB_00025	KOIAIB_03517	985	core-core
KOIAIB_00025	KOIAIB_00476	967	core-core
KOIAIB_00025	KOIAIB_04249	834	core-core
KOIAIB_00025	KOIAIB_03529	999	core-core
KOIAIB_00025	KOIAIB_01164	796	core-core
KOIAIB_00025	KOIAIB_03549	996	core-core
KOIAIB_00025	KOIAIB_03377	789	core-core
KOIAIB_00025	KOIAIB_03508	858	core-core
KOIAIB_00025	KOIAIB_03434	999	core-core
KOIAIB_00025	KOIAIB_03372	871	core-core
KOIAIB_00025	KOIAIB_03405	995	core-core
KOIAIB_00025	KOIAIB_02751	988	core-core
KOIAIB_00025	KOIAIB_03368	882	core-core
KOIAIB_00025	KOIAIB_01026	811	core-core
KOIAIB_00025	KOIAIB_04244	995	core-core
KOIAIB_00025	KOIAIB_03366	999	core-core
KOIAIB_00025	KOIAIB_01165	998	core-core
KOIAIB_00025	KOIAIB_00955	935	core-core
KOIAIB_00025	KOIAIB_03516	983	core-core
KOIAIB_00025	KOIAIB_04195	995	core-core
KOIAIB_00025	KOIAIB_04243	999	core-core
KOIAIB_00025	KOIAIB_04240	879	core-core
KOIAIB_00025	KOIAIB_01288	881	core-core
KOIAIB_00025	KOIAIB_04245	999	core-core
KOIAIB_00025	KOIAIB_03514	997	core-core
KOIAIB_00025	KOIAIB_02794	995	core-core
KOIAIB_00025	KOIAIB_00026	763	core-core
KOIAIB_00025	KOIAIB_03387	999	core-core
KOIAIB_00025	KOIAIB_04246	994	core-core
KOIAIB_00025	KOIAIB_03520	992	core-core
KOIAIB_00025	KOIAIB_00983	982	core-core
KOIAIB_00025	KOIAIB_03523	987	core-core
KOIAIB_00025	KOIAIB_03779	854	core-core
KOIAIB_00025	KOIAIB_03507	991	core-core
KOIAIB_00025	KOIAIB_04242	930	core-core
KOIAIB_00025	KOIAIB_03526	991	core-core
KOIAIB_00025	KOIAIB_01160	781	core-core
KOIAIB_00025	KOIAIB_03525	984	core-core
KOIAIB_00025	KOIAIB_03881	918	core-core
KOIAIB_00025	KOIAIB_03134	896	core-core
KOIAIB_00025	KOIAIB_04455	823	core-core
KOIAIB_00025	KOIAIB_03504	998	core-core
KOIAIB_00025	KOIAIB_03524	996	core-core
KOIAIB_00025	KOIAIB_02785	896	core-core
KOIAIB_00025	KOIAIB_00099	827	core-core
KOIAIB_00025	KOIAIB_02331	997	core-core
KOIAIB_00025	KOIAIB_03502	993	core-core
