locus_tag	string_id	gene_class	gene_name	annotation
KOIAIB_03974	511145.b3733	core	atpG	F0F1
KOIAIB_04667	511145.b4361	core	dnaC	DNA
KOIAIB_00186	511145.b0173	core	dxr~~~ispC	1-deoxy-D-xylulose
KOIAIB_01621	511145.b1521	core	uxaB	Altronate
KOIAIB_04665	511145.b4359	core	opgB	phosphatidylglycerol--membrane-oligosaccharide
KOIAIB_01828	511145.b1714	core	pheS	phenylalanine--tRNA
KOIAIB_03693	511145.b3483	accessory	yhhH	Uncharacterized
KOIAIB_03864	511145.b3633	core	waaA	lipid
KOIAIB_04342	511145.b4068	core	yjcH	Inner
KOIAIB_04695	511145.b4383	core	deoB	phosphopentomutase
KOIAIB_00038	511145.b0036	core	caiD	crotonobetainyl-CoA
KOIAIB_00209	511145.b0193	core	yaeF	YaeF
KOIAIB_00566	511145.b0520	core	allH	Oxamate
KOIAIB_00882	511145.b4705	core	mntS	manganase
KOIAIB_00950	511145.b0880	core	group_8824	cold
KOIAIB_04691	511145.b4379	core	yjjW	Putative
KOIAIB_02767	511145.b2583	core	tapT	tRNA-uridine
KOIAIB_02942	511145.b2758	accessory	cas7e	type
KOIAIB_00736	511145.b0681	core	chiP~~~oprD	Outer
KOIAIB_02691	511145.b2517	core	rlmN	bifunctional
KOIAIB_02910	511145.b2727	core	hypB	hydrogenase
KOIAIB_03148	511145.b2955	core	hemW	radical
KOIAIB_03843	511145.b3612	core	gpmM	23-bisphosphoglycerate-independent
KOIAIB_01667	511145.b1562	accessory	group_3827	type
KOIAIB_02095	511145.b1967	core	hchA	glyoxalase
KOIAIB_02472	511145.b2311	core	ubiX	flavin
KOIAIB_02575	511145.b4546	core	ypeB	DUF3820
KOIAIB_02747	511145.b2565	core	recO	DNA
KOIAIB_02957	511145.b4463	core	ygcU	Uncharacterized
KOIAIB_03672	511145.b3462	core	ftsX	permease-like
KOIAIB_04015	511145.b3774	core	ilvC	ketol-acid
KOIAIB_04432	511145.b4140	core	fxsA	UPF0716
KOIAIB_04499	511145.b4204	accessory	yjfZ	Uncharacterized
KOIAIB_02160	511145.b2027	accessory	wzzB	LPS
KOIAIB_03227	511145.b3031	core	group_9019	3'5'-cyclic-AMP
KOIAIB_03431	511145.b3227	accessory	dcuC	anaerobic
KOIAIB_03736	511145.b3517	core	group_8950	glutamate
KOIAIB_04597	511145.b4296	accessory	yjhF	Uncharacterized
KOIAIB_02295	511145.b2150	core	group_836	galactose/glucose
KOIAIB_03397	511145.b3195	core	group_9109	phospholipid
KOIAIB_03633	511145.b3425	core	group_9158	thiosulfate
KOIAIB_03771	511145.b3548	core	yhjY	Lipase;Uncharacterized
KOIAIB_00852	511145.b0790	core	ybhP	Uncharacterized
KOIAIB_02594	511145.b2428	core	murQ	N-acetylmuramic
KOIAIB_02221	511145.b2081	core	yegQ	tRNA
KOIAIB_01414	511145.b1325	core	ycjG	L-Ala-D/L-Glu
KOIAIB_03882	511145.b3650	core	spoT	bifunctional
KOIAIB_01006	511145.b0933	core	ssuB	Aliphatic
KOIAIB_04029	511145.b3789	core	group_3136	glucose-1-phosphate
KOIAIB_03488	511145.b3280	core	yrdB	DUF1488
KOIAIB_03648	511145.b3440	core	yhhX	oxidoreductase
KOIAIB_01403	511145.b1314	core	ycjR	Transient
KOIAIB_02281	511145.b2137	core	yohF	SDR
KOIAIB_04181	511145.b3922	core	yiiS	DUF406
KOIAIB_04258	511145.b3995	core	rsd	sigma
KOIAIB_04371	511145.b4089	accessory	alsR	als
KOIAIB_04374	511145.b4092	core	phnP	phosphonate
KOIAIB_01079	511145.b1004	core	wrbA	NAD(P)H:quinone
KOIAIB_02592	511145.b2426	core	ucpA	SDR
KOIAIB_02803	511145.b2616	core	recN	DNA
KOIAIB_00149	511145.b0139	accessory	htrE	outer
KOIAIB_02715	511145.b2537	accessory	hcaR	DNA-binding
KOIAIB_04128	511145.b3876	accessory	yihO	Putative
KOIAIB_01822	511145.b1709	core	btuD	Vitamin
KOIAIB_01859	511145.b1742	core	ves	environmental
KOIAIB_00295	511145.b0268	accessory	yagE	2-keto-3-deoxygluconate
KOIAIB_03362	511145.b4685	core	group_9083	Uncharacterized
KOIAIB_03398	511145.b3196	core	yrbG	Sodium/calcium
KOIAIB_01460	511145.b1365	accessory	ynaK	Putative
KOIAIB_03945	511145.b3706	core	mnmE	tRNA
KOIAIB_03358	511145.b3159	core	group_9079	U32
KOIAIB_03695	511145.b3484	accessory	group_2596	ISAs1
KOIAIB_04658	511145.b4352	accessory	yjiA	GTPase
KOIAIB_00143	511145.b0133	core	panC	pantoate--beta-alanine
KOIAIB_01106	511145.b1029	accessory	ycdU	protein
KOIAIB_01439	511145.b1344	core	ttcA	tRNA-cytidine(32)
KOIAIB_02316	511145.b4502	core	yeiW	UPF0153
KOIAIB_00630	511145.b0579	accessory	ybdF	MmcQ/YjbR
KOIAIB_03066	511145.b2875	core	xdhC~~~yqeB	NAD(P)-binding
KOIAIB_03440	511145.b3236	core	group_9136	malate
KOIAIB_03612	511145.b3403	core	pckA	phosphoenolpyruvate
KOIAIB_02248	511145.b2107	accessory	rcnB	Ni(II)/Co(II)
KOIAIB_02453	511145.b2292	core	yfbS	Uncharacterized
KOIAIB_04505	511145.b4210	core	ytfF	Inner
KOIAIB_03382	511145.b3180	core	group_9097	ribosome
KOIAIB_03447	511145.b3243	core	group_9144	HTH-type
KOIAIB_04481	511145.b4186	core	yjfC	Glutathionylspermidine
KOIAIB_04460	511145.b4670	core	yjeV	Uncharacterized
KOIAIB_03625	511145.b3416	core	malQ	4-alpha-glucanotransferase
KOIAIB_02322	511145.b2176	core	pdeN	cyclic
KOIAIB_02311	511145.b2166	core	psuK	pseudouridine
KOIAIB_02547	511145.b2384	core	group_8029	aminopeptidase
KOIAIB_01902	511145.b1785	core	cdgI	putative
KOIAIB_02928	511145.b2744	core	surE	5'/3'-nucleotidase
KOIAIB_02929	511145.b2745	core	truD	tRNA
KOIAIB_00615	511145.b0565	accessory	group_1517	omptin
KOIAIB_00864	511145.b0801	core	hcxB	hydroxycarboxylate
KOIAIB_02235	511145.b2095	core	gatZ	tagatose-bisphosphate
KOIAIB_03268	511145.b3068	core	group_9036	G/U
KOIAIB_03437	511145.b3233	core	group_9133	Z-ring
KOIAIB_03512	511145.b3304	core	rplR	50S
KOIAIB_01384	511145.b1295	core	ymjA	Uncharacterized
KOIAIB_01551	511145.b1450	core	mcbR	HTH-type
KOIAIB_01714	511145.b1608	core	rstA	two-component
KOIAIB_01982	511145.b1860	core	ruvB	Holliday
KOIAIB_02293	511145.b2148	core	group_8972	galactose/methyl
KOIAIB_01452	511145.b1356	accessory	racR	Prophage
KOIAIB_01650	511145.b1547	accessory	stfR~~~stfQ	Prophage
KOIAIB_01783	511145.b1673	core	ydhV	Putative
KOIAIB_04046	511145.b3803	core	hemX	uroporphyrinogen-III
KOIAIB_01192	511145.b1116	core	lolC	lipoprotein-releasing
KOIAIB_00646	511145.b0591	core	entS	enterobactin
KOIAIB_00894	511145.b0827	core	group_8805	molybdopterin
KOIAIB_00016	511145.b0015	core	dnaJ	molecular
KOIAIB_00369	511145.b0338	accessory	cynR	transcriptional
KOIAIB_01477	511145.b1381	core	ydbH	YdbH
KOIAIB_01048	511145.b0975	core	hyaD	hydrogenase
KOIAIB_03850	511145.b3619	core	rfaD	ADP-glyceromanno-heptose
KOIAIB_02310	511145.b2165	core	psuG	pseudouridine-5'-phosphate
KOIAIB_02684	511145.b2511	core	der	ribosome
KOIAIB_03794	511145.b3567	core	xylG	D-xylose
KOIAIB_03761	511145.b3540	core	dppF	dipeptide
KOIAIB_04034	511145.b3793	core	wzyE	ECA
KOIAIB_00037	511145.b0035	core	caiE	carnitine
KOIAIB_00719	511145.b0662	core	ubiF	3-demethoxyubiquinol
KOIAIB_03399	511145.b3197	core	group_9110	arabinose-5-phosphate
KOIAIB_03668	511145.b3458	core	livK	high-affinity
KOIAIB_03972	511145.b3731	core	atpC	ATP
KOIAIB_04127	511145.b3875	accessory	ompL~~~kdgM	porin
KOIAIB_03952	511145.b3713	core	yieF	class
KOIAIB_04103	511145.b3859	core	srkA	stress
KOIAIB_02864	511145.b2682	core	azlC~~~ygaZ	AzlC
KOIAIB_03072	511145.b2881	core	xdhD	putative
KOIAIB_03417	511145.b3214	accessory	gltF	Protein
KOIAIB_02991	511145.b2805	core	fucR	L-fucose
KOIAIB_03199	511145.b3001	core	group_8999	L-glyceraldehyde
KOIAIB_02822	511145.b2636	accessory	yafY~~~yfjS	Lipoprotein
KOIAIB_02894	511145.b2711	core	norW	NADH:flavorubredoxin
KOIAIB_03064	511145.b2873	core	hyuA	D-phenylhydantoinase
KOIAIB_03525	511145.b3317	core	rplB	50S
KOIAIB_00627	511145.b0576	accessory	pheP	phenylalanine
KOIAIB_01315	511145.b1233	core	ychJ	YchJ
KOIAIB_02934	511145.b2750	core	cysC	Adenylyl-sulfate
KOIAIB_01903	511145.b1786	core	dgcJ	diguanylate
KOIAIB_01440	511145.b1345	accessory	intR	site-specific
KOIAIB_03011	511145.b2823	core	ppdC	prepilin-type
KOIAIB_03831	511145.b3601	core	mtlR	mannitol
KOIAIB_01881	511145.b1764	core	selD	selenide
KOIAIB_04361	511145.b4080	core	mdtP	multidrug
KOIAIB_00154	511145.b0144	core	gluQRS	tRNA
KOIAIB_01725	511145.b1619	core	hdhA	7-alpha-hydroxysteroid
KOIAIB_01303	511145.b1220	core	ychO	inverse
KOIAIB_00237	511145.b0219	core	yafV	2-oxoglutaramate
KOIAIB_02421	511145.b2261	core	menC	o-succinylbenzoate
KOIAIB_02522	511145.b2362	accessory	group_2765	Uncharacterized
KOIAIB_01340	511145.b1255	core	yciC	YciC
KOIAIB_01506	511145.b1409	core	ynbB	Uncharacterized
KOIAIB_01841	511145.b1726	core	yniB	Uncharacterized
KOIAIB_01907	511145.b1791	core	cynX~~~nimT	Cyanate
KOIAIB_01944	511145.b1827	core	kdgR	DNA-binding
KOIAIB_03210	511145.b3012	core	dkgA	25-didehydrogluconate
KOIAIB_03446	511145.b3242	core	group_9143	p-hydroxybenzoic
KOIAIB_03489	511145.b3281	core	aroE	shikimate
KOIAIB_00624	511145.b0573	accessory	cusF	Cu(+)/Ag(+)
KOIAIB_00658	511145.b0602	core	ybdN	Uncharacterized
KOIAIB_04182	511145.b3923	core	uspD	universal
KOIAIB_00692	511145.b0636	core	rlmH	23S
KOIAIB_00766	511145.b0709	core	dtpD	dipeptide
KOIAIB_01750	511145.b1643	core	ydhI	Uncharacterized
KOIAIB_01854	511145.b1738	core	chbB	PTS
KOIAIB_03312	511145.b3110	core	dlsT	Serine
KOIAIB_03492	511145.b3284	core	smg	DUF494
